id,title,company,location,job_description,skills,role
723,Enterprise Architect (Lead),NextGen,Austin,Join us as a Enterprise Architect and work on cutting-edge technology.,"Enterprise Architecture, Cloud, Integration, Governance, Solution Design, Communication, TOGAF, Business Analysis",Enterprise Architect
875,Marketing Technologist (Senior),MegaSoft,Boston,Join us as a Marketing Technologist and work on cutting-edge technology.,"Data, Automation, Integration, SQL, CRM, Marketing Technology, Marketing Platforms, Analytics",Marketing Technologist
73,API Developer (Mid-level),DataMind,Boston,Looking for a skilled API Developer to join our team.,"Express.js, Postman, OAuth, Node.js, Python, GraphQL",API Developer
193,Computer Vision Engineer (Senior),CodeFactory,Denver,Computer Vision Engineer position with growth opportunities.,"YOLO, Image Processing, Object Detection, Image Segmentation, Python, Deep Learning",Computer Vision Engineer
595,Scrum Master (Lead),TechCorp,Boston,We need an experienced Scrum Master for exciting projects.,"Kanban, Jira, Agile, SAFe, Facilitation, Impediment Removal, Scrum, Team Coaching, Sprint Planning",Scrum Master
313,Platform Engineer (Senior),InnovateTech,Chicago,Join us as a Platform Engineer and work on cutting-edge technology.,"Kubernetes, ArgoCD, Service Mesh, Helm, Docker, Cloud, GitOps, CI/CD, Infrastructure as Code, Terraform",Platform Engineer
892,Sales Engineer (Lead),AppMasters,Denver,Looking for a skilled Sales Engineer to join our team.,"Pre-sales, Stakeholder Management, Cloud, Technical Knowledge, POC, Product Demo, Solution Design, API, Communication",Sales Engineer
24,Backend Developer (Junior),SmartSolutions,Boston,Looking for a skilled Backend Developer to join our team.,"Redis, Django, PostgreSQL, Problem Solving, Docker, Spring Boot, Java, Microservices, Node.js, Python",Backend Developer
47,Senior Software Engineer (Lead),GlobalTech,Chicago,Senior Software Engineer position with growth opportunities.,"Kubernetes, System Design, Java, Microservices, Python, Code Review",Senior Software Engineer
538,UX Researcher (Principal),AIVentures,Denver,Join us as a UX Researcher and work on cutting-edge technology.,"Surveys, A/B Testing, User Research, UX, Usability Testing, User Journey",UX Researcher
457,QA Engineer (Senior),CodeFactory,Miami,Join us as a QA Engineer and work on cutting-edge technology.,"Automation, Testing, Bug Tracking, Leadership, API Testing, JUnit, Java, Test Cases, Cypress, TestNG, Git, Communication",QA Engineer
271,Business Intelligence Developer (Junior),FutureSoft,Remote,Join us as a Business Intelligence Developer and work on cutting-edge technology.,"Power BI, SSRS, SSIS, SQL, Data Modeling, Reporting, Dashboards, Data Warehousing",Business Intelligence Developer
72,API Developer (Mid-level),CloudNine,San Francisco,API Developer position with growth opportunities.,"REST API, Express.js, FastAPI, Postman, Node.js, GraphQL",API Developer
353,Infrastructure Engineer (Mid-level),DigitalEdge,Singapore,Looking for a skilled Infrastructure Engineer to join our team.,"Networking, Automation, Communication, Agile, Virtualization, Cloud, Docker, Ansible, VMware, Monitoring",Infrastructure Engineer
385,Cybersecurity Analyst (Principal),WebWorks,Boston,Cybersecurity Analyst position with growth opportunities.,"Incident Response, Malware Analysis, Agile, Risk Assessment, SIEM, Threat Analysis, Splunk, Security, Wireshark, Communication, Forensics, Compliance",Cybersecurity Analyst
427,Database Administrator (Principal),CloudNine,Seattle,Looking for a skilled Database Administrator to join our team.,"MySQL, Performance Tuning, Backup, Linux, PostgreSQL, Oracle, Replication, Database Design, SQL",Database Administrator
549,Visual Designer (Senior),AIVentures,Seattle,We need an experienced Visual Designer for exciting projects.,"Branding, Illustration, Adobe Creative Suite, Problem Solving, Motion Graphics, UI Design, Visual Design, Figma, Typography, Design Systems",Visual Designer
735,Software Architect (Senior),CloudFirst,Seattle,Looking for a skilled Software Architect to join our team.,"Documentation, API Design, Cloud, Performance, System Design, Architecture Patterns, Technical Leadership, Security, Code Review",Software Architect
57,Junior Developer (Senior),SysTech,Boston,Junior Developer position with growth opportunities.,"Learning, Problem Solving, Git, JavaScript, Node.js, HTML/CSS, React, Python, Team Work",Junior Developer
81,Mobile Developer (Principal),DevHub,Denver,Join us as a Mobile Developer and work on cutting-edge technology.,"REST API, React Native, Flutter, Firebase, Objective-C, Git, Android, iOS",Mobile Developer
77,API Developer (Junior),AIVentures,Denver,API Developer position with growth opportunities.,"REST API, Communication, Express.js, Problem Solving, Postman, OAuth, Node.js, Python, GraphQL",API Developer
535,UX Researcher (Principal),SmartSolutions,Miami,We need an experienced UX Researcher for exciting projects.,"Personas, Leadership, Agile, Interviews, Surveys, A/B Testing, User Research, UX, Usability Testing, User Journey, Data Analysis, Analytics",UX Researcher
440,Database Developer (Lead),DataMind,San Francisco,Database Developer position with growth opportunities.,"Performance Tuning, PL/SQL, PostgreSQL, Database Design, Stored Procedures, SQL, Data Modeling, ETL",Database Developer
705,Support Engineer (Lead),StartupX,Denver,Join us as a Support Engineer and work on cutting-edge technology.,"Documentation, Linux, Customer Service, Problem Solving, Technical Support, SQL, Escalation Management, Ticketing Systems",Support Engineer
260,MLOps Engineer (Senior),NetPro,Seattle,We need an experienced MLOps Engineer for exciting projects.,"Kubernetes, Model Monitoring, AWS SageMaker, Feature Store, Docker, MLOps, MLflow, CI/CD, Kubeflow, Python",MLOps Engineer
741,Data Architect (Junior),AppMasters,London,Join us as a Data Architect and work on cutting-edge technology.,"Data Architecture, Big Data, Master Data Management, SQL, Data Modeling, Data Governance, ETL, Data Warehousing",Data Architect
553,Interaction Designer (Senior),NetPro,Remote,Join us as a Interaction Designer and work on cutting-edge technology.,"Leadership, Agile, Animation, After Effects, Micro-interactions, User Flows, Interaction Design, Figma, Prototyping, Design Systems",Interaction Designer
58,Junior Developer (Principal),AppMasters,Seattle,Join us as a Junior Developer and work on cutting-edge technology.,"Node.js, Learning, SQL, Git, JavaScript, HTML/CSS, React, Python",Junior Developer
640,Business Analyst (Lead),SysTech,Los Angeles,We need an experienced Business Analyst for exciting projects.,"Documentation, User Stories, Stakeholder Management, Jira, Excel, Process Mapping, Data Analysis, Business Analysis, Requirements Gathering",Business Analyst
531,UX Researcher (Principal),SmartSolutions,Boston,Looking for a skilled UX Researcher to join our team.,"Personas, Surveys, A/B Testing, UX, Usability Testing, User Journey, Data Analysis, Analytics",UX Researcher
884,SEO Specialist (Mid-level),StartupX,Denver,SEO Specialist position with growth opportunities.,"HTML, Technical SEO, Link Building, Keyword Research, SEO, Content Strategy, Team Work, Google Analytics, Analytics",SEO Specialist
223,LLM Engineer (Junior),GlobalTech,Bangalore,LLM Engineer position with growth opportunities.,"Leadership, Langchain, NLP, Transformers, OpenAI, Hugging Face, GPT, Python, Team Work, Vector Database",LLM Engineer
657,Systems Analyst (Principal),DataMind,Remote,We need an experienced Systems Analyst for exciting projects.,"Business Process, Documentation, Systems Analysis, Stakeholder Management, Technical Writing, SQL, Process Modeling, UML, Requirements",Systems Analyst
458,QA Engineer (Principal),InnovateTech,San Francisco,QA Engineer position with growth opportunities.,"Automation, Testing, JUnit, Java, Test Cases, Cypress, TestNG, Git, Selenium, Python",QA Engineer
936,IT Manager (Junior),DataDriven,Seattle,Looking for a skilled IT Manager to join our team.,"Communication, Budget, Vendor Management, IT Management, Infrastructure, Project Management, Strategy, Security, Team Leadership, Operations",IT Manager
300,Cloud Engineer (Senior),DataDriven,Seattle,We need an experienced Cloud Engineer for exciting projects.,"Kubernetes, Networking, Google Cloud, AWS, Security, Communication, Terraform",Cloud Engineer
205,AI Research Scientist (Principal),CodeFactory,San Francisco,AI Research Scientist position with growth opportunities.,"TensorFlow, Computer Vision, Mathematics, PyTorch, Research, Publications, Machine Learning, Python",AI Research Scientist
823,CTO (Mid-level),DevHub,Toronto,Join us as a CTO and work on cutting-edge technology.,"Architecture, Leadership, Technology Strategy, Digital Transformation, Agile, Vendor Management, Budget Management, Team Work",CTO
964,Desktop Support Engineer (Senior),StartupX,Singapore,Join us as a Desktop Support Engineer and work on cutting-edge technology.,"Networking, Software Installation, Customer Service, Troubleshooting, Windows, Active Directory, Remote Support",Desktop Support Engineer
113,React Native Developer (Principal),SmartSolutions,Singapore,Looking for a skilled React Native Developer to join our team.,"React Native, Expo, Redux, Firebase, Mobile, iOS, JavaScript, Android, TypeScript",React Native Developer
203,AI Research Scientist (Senior),NetPro,Bangalore,We need an experienced AI Research Scientist for exciting projects.,"TensorFlow, Computer Vision, Mathematics, NLP, PyTorch, Research, Publications, Machine Learning, Python, Deep Learning",AI Research Scientist
125,Flutter Developer (Senior),MegaSoft,Chicago,Flutter Developer position with growth opportunities.,"REST API, UI/UX, Dart, Agile, Flutter, Firebase, Mobile, Android, State Management, Team Work, iOS",Flutter Developer
577,Technical Product Manager (Junior),GlobalTech,London,We need an experienced Technical Product Manager for exciting projects.,"Stakeholder Management, Jira, Agile, System Design, Roadmapping, Technical Knowledge, SQL, API, Product Management, Data Analysis",Technical Product Manager
15,Frontend Developer (Mid-level),DevHub,Los Angeles,Join us as a Frontend Developer and work on cutting-edge technology.,"CSS, Webpack, Redux, JavaScript, HTML/CSS, TypeScript",Frontend Developer
349,Cloud Architect (Lead),MegaSoft,Bangalore,We need an experienced Cloud Architect for exciting projects.,"Kubernetes, Cost Optimization, AWS, Microservices, Cloud Design, Security, Terraform",Cloud Architect
124,Flutter Developer (Senior),SysTech,Austin,Join us as a Flutter Developer and work on cutting-edge technology.,"REST API, UI/UX, Flutter, Firebase, Mobile, Android, State Management, iOS",Flutter Developer
847,Tech Lead (Junior),AIVentures,Chicago,Tech Lead position with growth opportunities.,"Architecture, Mentoring, Agile, System Design, Best Practices, Team Collaboration, Code Review",Tech Lead
947,IT Administrator (Lead),CloudNine,Toronto,Join us as a IT Administrator and work on cutting-edge technology.,"Networking, IT Administration, Linux, Troubleshooting, Windows, Active Directory, Security, Support",IT Administrator
891,Sales Engineer (Lead),AIVentures,San Francisco,Sales Engineer position with growth opportunities.,"Technical Sales, Stakeholder Management, Cloud, Technical Knowledge, Product Demo, Solution Design, API, Communication",Sales Engineer
568,Product Manager (Senior),CodeFactory,Bangalore,Looking for a skilled Product Manager to join our team.,"User Stories, Jira, Stakeholder Management, Market Research, A/B Testing, SQL, Product Management, Scrum, Analytics",Product Manager
206,AI Research Scientist (Senior),FutureSoft,Singapore,Looking for a skilled AI Research Scientist to join our team.,"TensorFlow, Computer Vision, Mathematics, Leadership, NLP, Publications, Machine Learning, Communication, Deep Learning",AI Research Scientist
856,Director of Engineering (Senior),DataDriven,Berlin,Director of Engineering position with growth opportunities.,"Hiring, Stakeholder Management, Team Building, Budget, Cross-functional, OKRs, Strategy, Engineering Leadership, Process",Director of Engineering
456,QA Engineer (Senior),GlobalTech,Denver,We need an experienced QA Engineer for exciting projects.,"Bug Tracking, API Testing, Java, Test Cases, TestNG, Git, Selenium",QA Engineer
227,LLM Engineer (Junior),AppMasters,San Francisco,We need an experienced LLM Engineer for exciting projects.,"RAG, NLP, Transformers, OpenAI, GPT, Python, Vector Database",LLM Engineer
771,AR/VR Developer (Mid-level),StartupX,London,AR/VR Developer position with growth opportunities.,"3D Modeling, 3D Development, Oculus, ARKit, ARCore, C#, Unreal Engine, Unity",AR/VR Developer
120,React Native Developer (Principal),DigitalEdge,Singapore,Looking for a skilled React Native Developer to join our team.,"REST API, Expo, Firebase, Mobile, iOS, JavaScript, Android, TypeScript",React Native Developer
365,Release Engineer (Principal),TechCorp,Toronto,We need an experienced Release Engineer for exciting projects.,"Jenkins, Kubernetes, Automation, Build Systems, Docker, Git, Deployment, Release Management",Release Engineer
273,Business Intelligence Developer (Senior),WebWorks,Seattle,Looking for a skilled Business Intelligence Developer to join our team.,"Power BI, SSRS, Problem Solving, ETL, SQL, Reporting, Dashboards, Team Work, Tableau, Data Warehousing",Business Intelligence Developer
7,Full Stack Developer (Mid-level),CodeFactory,Berlin,Full Stack Developer position with growth opportunities.,"PostgreSQL, Docker, SQL, JavaScript, HTML/CSS, React, Python, TypeScript",Full Stack Developer
258,MLOps Engineer (Senior),CloudNine,San Francisco,MLOps Engineer position with growth opportunities.,"Kubernetes, Model Monitoring, Feature Store, AWS SageMaker, Docker, MLOps, MLflow, CI/CD, Python",MLOps Engineer
706,Support Engineer (Junior),DataMind,San Francisco,We need an experienced Support Engineer for exciting projects.,"Documentation, Linux, Customer Service, Troubleshooting, Technical Support, SQL, Escalation Management, Communication",Support Engineer
138,AI/ML Engineer (Lead),AppMasters,New York,We need an experienced AI/ML Engineer for exciting projects.,"TensorFlow, Leadership, Agile, NLP, PyTorch, Pandas, Keras, Machine Learning, Python, Deep Learning",AI/ML Engineer
398,Application Security Engineer (Mid-level),WebWorks,Remote,We need an experienced Application Security Engineer for exciting projects.,"Application Security, Secure Coding, Security, DevSecOps, SAST, DAST, OWASP",Application Security Engineer
135,AI/ML Engineer (Mid-level),MegaSoft,Boston,Join us as a AI/ML Engineer and work on cutting-edge technology.,"Computer Vision, NumPy, PyTorch, NLP, Keras, Pandas, Scikit-learn, Python, Deep Learning",AI/ML Engineer
667,Operations Analyst (Lead),CloudFirst,Los Angeles,We need an experienced Operations Analyst for exciting projects.,"Documentation, Automation, Process Improvement, Excel, KPIs, Reporting, Operations, Data Analysis",Operations Analyst
590,Project Manager (Principal),WebWorks,Seattle,Looking for a skilled Project Manager to join our team.,"Risk Management, Agile, MS Project, Project Management, Budget Management, PMP",Project Manager
831,VP of Engineering (Mid-level),CodeFactory,Remote,We need an experienced VP of Engineering for exciting projects.,"Hiring, Technical Vision, Cross-functional Collaboration, Process Improvement, Budget, OKRs, Strategy, Organization Building",VP of Engineering
112,React Native Developer (Mid-level),FutureSoft,London,We need an experienced React Native Developer for exciting projects.,"REST API, React Native, Redux, Firebase, Mobile, Android, Team Work, iOS",React Native Developer
876,Marketing Technologist (Senior),NetPro,San Francisco,Join us as a Marketing Technologist and work on cutting-edge technology.,"Data, Automation, Integration, Reporting, CRM, SQL, Marketing Platforms",Marketing Technologist
532,UX Researcher (Junior),AIVentures,Miami,Join us as a UX Researcher and work on cutting-edge technology.,"Interviews, Surveys, User Research, UX, Usability Testing, User Journey, Analytics",UX Researcher
188,NLP Engineer (Junior),NextGen,Bangalore,We need an experienced NLP Engineer for exciting projects.,"Text Classification, NLP, BERT, GPT, NLTK, Communication, Deep Learning",NLP Engineer
454,QA Engineer (Lead),WebWorks,Austin,Join us as a QA Engineer and work on cutting-edge technology.,"Testing, Automation, Bug Tracking, Communication, API Testing, JUnit, Java, Test Cases, Cypress, Git, Selenium, Python",QA Engineer
172,Machine Learning Engineer (Lead),SmartSolutions,Austin,We need an experienced Machine Learning Engineer for exciting projects.,"Kubernetes, TensorFlow, AWS SageMaker, Leadership, Agile, Docker, MLOps, Feature Engineering, Machine Learning, Model Deployment, Python",Machine Learning Engineer
617,Program Manager (Principal),AIVentures,New York,Program Manager position with growth opportunities.,"Risk Management, Leadership, Agile, Resource Planning, Budget, Program Management, Reporting, Strategy",Program Manager
784,Game Developer (Principal),AIVentures,New York,We need an experienced Game Developer for exciting projects.,"Physics, 3D Development, Game Design, Animation, C++, C#, Unreal Engine, Graphics, AI, Unity",Game Developer
515,Product Designer (Lead),CloudNine,Chicago,We need an experienced Product Designer for exciting projects.,"A/B Testing, Visual Design, Product Design, Interaction Design, Figma, Prototyping, Design Systems",Product Designer
560,Interaction Designer (Lead),NetPro,London,Looking for a skilled Interaction Designer to join our team.,"Animation, After Effects, Micro-interactions, User Flows, Interaction Design, Figma, Design Systems",Interaction Designer
435,Database Developer (Lead),GlobalTech,Los Angeles,Database Developer position with growth opportunities.,"PL/SQL, Performance Tuning, PostgreSQL, Database Design, Query Optimization, Stored Procedures, SQL, Data Modeling, ETL, T-SQL",Database Developer
922,Technology Consultant (Lead),FutureSoft,Miami,Technology Consultant position with growth opportunities.,"Architecture, Digital Transformation, Leadership, Agile, Cloud, Business, Strategy, Technology Consulting, Analytics",Technology Consultant
266,Big Data Engineer (Principal),DataDriven,Remote,We need an experienced Big Data Engineer for exciting projects.,"Hive, Scala, Hadoop, SQL, Kafka, AWS EMR, Python, Apache Spark, Data Lake",Big Data Engineer
379,Security Engineer (Mid-level),AIVentures,Los Angeles,Looking for a skilled Security Engineer to join our team.,"Linux, Problem Solving, SOC, Firewalls, Security, Communication, OWASP, Vulnerability Assessment",Security Engineer
717,Solutions Architect (Senior),FutureSoft,Berlin,Looking for a skilled Solutions Architect to join our team.,"Architecture, Cloud, Azure, System Design, Cost Optimization, Integration, Technical Leadership",Solutions Architect
371,Security Engineer (Mid-level),NextGen,Singapore,Security Engineer position with growth opportunities.,"Linux, IDS/IPS, SOC, Firewalls, Encryption, Security, OWASP, Vulnerability Assessment",Security Engineer
618,Program Manager (Senior),CloudNine,Singapore,Program Manager position with growth opportunities.,"Risk Management, Leadership, Stakeholder Management, Agile, Resource Planning, Budget, Portfolio, Reporting",Program Manager
37,Software Engineer (Senior),AppMasters,Boston,We need an experienced Software Engineer for exciting projects.,"Data Structures, Agile, C++, Java, Git, CI/CD, Algorithms",Software Engineer
115,React Native Developer (Senior),GlobalTech,Seattle,Join us as a React Native Developer and work on cutting-edge technology.,"REST API, React Native, Expo, Firebase, Mobile, JavaScript, Android, iOS",React Native Developer
685,Technical Support Engineer (Senior),StartupX,Denver,We need an experienced Technical Support Engineer for exciting projects.,"Ticketing, Documentation, Jira, Technical Knowledge, SQL, API, Communication",Technical Support Engineer
