skill,course,platform,level,duration_hours,url
LLM,LLM Course - Generative AI with LLMs,Coursera,Intermediate,20,https://coursera.org/learn/generative-ai-with-llms
Langchain,LangChain for LLM Application Development,DeepLearning.AI,Intermediate,5,https://deeplearning.ai/short-courses/langchain-for-llm-application-development
Prompt Engineering,ChatGPT Prompt Engineering for Developers,DeepLearning.AI,Beginner,3,https://deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers
MLOps,Machine Learning Engineering for Production,Coursera,Advanced,40,https://coursera.org/specializations/machine-learning-engineering-for-production-mlops
MLflow,MLflow in Action,DataCamp,Intermediate,4,https://datacamp.com/courses/mlflow
Tableau,Tableau A-Z: Hands-On,Udemy,Beginner,9,https://udemy.com/tableau-for-beginners
Power BI,Microsoft Power BI Desktop,Udemy,Beginner,12,https://udemy.com/microsoft-power-bi-up-running-with-power-bi-desktop
Apache Spark,Apache Spark with Python - Big Data with PySpark,Udemy,Intermediate,12,https://udemy.com/spark-and-python-for-big-data-with-pyspark
OpenCV,Computer Vision with OpenCV and Deep Learning,Udemy,Intermediate,14,https://udemy.com/python-for-computer-vision-with-opencv-and-deep-learning
Transformers,NLP with Transformers,Hugging Face,Advanced,20,https://huggingface.co/learn/nlp-course
BERT,BERT and Transformers,DeepLearning.AI,Advanced,8,https://deeplearning.ai/short-courses/
Unity,Complete C# Unity Game Developer 3D,Udemy,Beginner,30,https://udemy.com/unitycourse2
IoT,Internet of Things Specialization,Coursera,Intermediate,30,https://coursera.org/specializations/internet-of-things
Arduino,Arduino Step by Step,Udemy,Beginner,20,https://udemy.com/arduino-sbs-17gs
System Design,Grokking System Design,Educative,Advanced,25,https://educative.io/courses/grokking-the-system-design-interview
Algorithms,Algorithms and Data Structures Masterclass,Udemy,Intermediate,22,https://udemy.com/js-algorithms-and-data-structures-masterclass
Data Structures,Data Structures & Algorithms in Python,Udemy,Intermediate,16,https://udemy.com/data-structures-algorithms-python
Microservices,Microservices with Node JS and React,Udemy,Intermediate,54,https://udemy.com/microservices-with-node-js-and-react
GraphQL,The Modern GraphQL Bootcamp,Udemy,Intermediate,23,https://udemy.com/graphql-bootcamp
Excel,Excel Skills for Business,Coursera,Beginner,20,https://coursera.org/specializations/excel
R,R Programming,Coursera,Beginner,20,https://coursera.org/learn/r-programming
OWASP,OWASP Top 10 Web Application Security,Udemy,Intermediate,5,https://udemy.com/owasp-top-10
Compliance,GDPR Data Protection,Udemy,Beginner,3,https://udemy.com/gdpr
